http://human.owl#NCI_C12499,"{""t"":""internal ear"",""o"":[],""s"":[{""o"":""the portion of the ear located within the temporal bone that is involved in both hearing and balance and includes the semicircular canals vestibule and cochlea from american heritage dictionary online"",""p"":""has definition""},{""o"":""internal ear"",""p"":""has related synonym""},{""o"":""ear part"",""p"":""sub class of""},{""o"":""inner ear"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""},{""o"":""labyrinth"",""p"":""has related synonym""}]}"
http://human.owl#NCI_C32315,"{""t"":""ciliary muscle"",""o"":[],""s"":[{""o"":""eye part"",""p"":""sub class of""},{""o"":""muscle"",""p"":""sub class of""},{""o"":""ciliary muscle"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C12424,"{""t"":""nasal cavity"",""o"":[],""s"":[{""o"":""the proximal portion of the respiratory passages on either side of the nasal septum lined with ciliated mucosa extending from the nares to the pharynx mesh"",""p"":""has definition""},{""o"":""nasal cavity"",""p"":""has related synonym""},{""o"":""cavity"",""p"":""sub class of""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C32826,"{""t"":""interlobular artery"",""o"":[],""s"":[{""o"":""artery"",""p"":""sub class of""},{""o"":""interlobular artery"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C52749,"{""t"":""leg skin"",""o"":[],""s"":[{""o"":""skin of the extremity"",""p"":""sub class of""},{""o"":""leg skin"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C49479,"{""t"":""convoluted tubule"",""o"":[{""s"":""proximal convoluted tube"",""p"":""sub class of""},{""s"":""distal convoluted tubule"",""p"":""sub class of""}],""s"":[{""o"":""convoluted tubule"",""p"":""has related synonym""},{""o"":""renal tubule"",""p"":""sub class of""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C12724,"{""t"":""glottis"",""o"":[],""s"":[{""o"":""head and neck part"",""p"":""sub class of""},{""o"":""glottis"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C33878,"{""t"":""visceral efferent neuron"",""o"":[],""s"":[{""o"":""a cell that conducts a nerve impulse that originated in the central nervous system and proceeds towards one of the interior organs of the one of the three cavities of the body"",""p"":""has definition""},{""o"":""motor neuron"",""p"":""sub class of""},{""o"":""visceral efferent neuron"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C33200,"{""t"":""olecranon"",""o"":[],""s"":[{""o"":""olecranon"",""p"":""has related synonym""},{""o"":""musculoskeletal system part"",""p"":""sub class of""},{""o"":""skeletal system part"",""p"":""sub class of""},{""o"":""class"",""p"":""type""}]}"
http://human.owl#NCI_C33371,"{""t"":""posterior olfactory lobule"",""o"":[],""s"":[{""o"":""brain part"",""p"":""sub class of""},{""o"":""posterior olfactory lobule"",""p"":""has related synonym""},{""o"":""anterior perforated space"",""p"":""has related synonym""},{""o"":""class"",""p"":""type""}]}"
